"filename", "language", "Kotlin", "comment", "blank", "total"
"/Users/hoangthinh/Data/Learning/Object Oriented Design/oo-movie-backend/src/main/kotlin/com/housing/movie/features/common/controller/CommonController.kt", "Kotlin", 22, 0, 5, 27
"/Users/hoangthinh/Data/Learning/Object Oriented Design/oo-movie-backend/src/main/kotlin/com/housing/movie/features/common/entity/movie_person/MoviePerson.kt", "Kotlin", 22, 0, 5, 27
"/Users/hoangthinh/Data/Learning/Object Oriented Design/oo-movie-backend/src/main/kotlin/com/housing/movie/features/common/entity/movie_person/MoviePersonKey.kt", "Kotlin", 11, 0, 5, 16
"/Users/hoangthinh/Data/Learning/Object Oriented Design/oo-movie-backend/src/main/kotlin/com/housing/movie/features/common/entity/movie_person/PersonType.kt", "Kotlin", 5, 0, 1, 6
"/Users/hoangthinh/Data/Learning/Object Oriented Design/oo-movie-backend/src/main/kotlin/com/housing/movie/features/common/serializers/MovieSerializer.kt", "Kotlin", 55, 8, 15, 78
"/Users/hoangthinh/Data/Learning/Object Oriented Design/oo-movie-backend/src/main/kotlin/com/housing/movie/features/company/controller/CompanyController.kt", "Kotlin", 6, 0, 3, 9
"/Users/hoangthinh/Data/Learning/Object Oriented Design/oo-movie-backend/src/main/kotlin/com/housing/movie/features/company/data/CompanyRepository.kt", "Kotlin", 6, 0, 2, 8
"/Users/hoangthinh/Data/Learning/Object Oriented Design/oo-movie-backend/src/main/kotlin/com/housing/movie/features/company/domain/Company.kt", "Kotlin", 19, 3, 12, 34
"/Users/hoangthinh/Data/Learning/Object Oriented Design/oo-movie-backend/src/main/kotlin/com/housing/movie/features/discount/controller/DiscountController.kt", "Kotlin", 58, 0, 10, 68
"/Users/hoangthinh/Data/Learning/Object Oriented Design/oo-movie-backend/src/main/kotlin/com/housing/movie/features/discount/data/repository/DiscountRepository.kt", "Kotlin", 7, 0, 5, 12
"/Users/hoangthinh/Data/Learning/Object Oriented Design/oo-movie-backend/src/main/kotlin/com/housing/movie/features/discount/data/service/DiscountServiceImpl.kt", "Kotlin", 69, 0, 23, 92
"/Users/hoangthinh/Data/Learning/Object Oriented Design/oo-movie-backend/src/main/kotlin/com/housing/movie/features/discount/domain/entity/Discount.kt", "Kotlin", 23, 0, 10, 33
"/Users/hoangthinh/Data/Learning/Object Oriented Design/oo-movie-backend/src/main/kotlin/com/housing/movie/features/discount/domain/service/DiscountService.kt", "Kotlin", 17, 0, 9, 26
"/Users/hoangthinh/Data/Learning/Object Oriented Design/oo-movie-backend/src/main/kotlin/com/housing/movie/features/discount/domain/usecase/DeleteDiscountUseCase.kt", "Kotlin", 13, 0, 2, 15
"/Users/hoangthinh/Data/Learning/Object Oriented Design/oo-movie-backend/src/main/kotlin/com/housing/movie/features/discount/domain/usecase/EnableDiscountUseCase.kt", "Kotlin", 14, 0, 2, 16
"/Users/hoangthinh/Data/Learning/Object Oriented Design/oo-movie-backend/src/main/kotlin/com/housing/movie/features/discount/domain/usecase/GetAllDiscountsUseCase.kt", "Kotlin", 13, 0, 2, 15
"/Users/hoangthinh/Data/Learning/Object Oriented Design/oo-movie-backend/src/main/kotlin/com/housing/movie/features/discount/domain/usecase/GetDiscountByCodeUseCase.kt", "Kotlin", 13, 0, 2, 15
"/Users/hoangthinh/Data/Learning/Object Oriented Design/oo-movie-backend/src/main/kotlin/com/housing/movie/features/discount/domain/usecase/GetDiscountByIdUseCase.kt", "Kotlin", 14, 0, 2, 16
"/Users/hoangthinh/Data/Learning/Object Oriented Design/oo-movie-backend/src/main/kotlin/com/housing/movie/features/discount/domain/usecase/UseDiscountUseCase.kt", "Kotlin", 13, 0, 2, 15
"/Users/hoangthinh/Data/Learning/Object Oriented Design/oo-movie-backend/src/main/kotlin/com/housing/movie/features/discount/domain/usecase/create_discount/CreateDiscountRequest.kt", "Kotlin", 34, 0, 8, 42
